"CH2017","CH2018","CH2021","CH2022","HM2017","HM2018","HM2021","JC2017","JC2018","JC2021","MM2017","MM2018","MM2021","PL2017","PL2018","PL2021","PL2022","RP2021","RP2022","SC2017","SC2018","SC2021","SM2017","SM2018","SM2021","SS2017","VC2017"
0.821276595744681,0.950118764845606,0.57439446366782,0.811594202898551,0.215652665618208,0.789473684210526,0.879518072289157,0.741138059701492,0.933534743202417,0.790290489454835,0,0.377097996751489,0.726286086390276,0.985714285714286,0.986111111111111,0.76003093049231,0.84971098265896,0.721128608923885,1,0.612508841062948,0.93984962406015,0.544207826959527,0.650720039052966,0.791921664626683,0.761036960985626,0.475229357798165,1
0.76,0.767857142857143,0.655963302752294,0.75,0.371643394199785,0.738498789346247,0.55170902716915,0.723076923076923,0.825581395348837,0.682692307692308,0.377097996751489,0,0.3996399639964,0.96551724137931,0.861538461538461,0.676767676767677,0.87962962962963,0.653776978417266,0.966666666666667,0.467686686458095,0.755747126436782,0.404838290123992,0.43579766536965,0.61976911976912,0.633802816901408,0.588557993730408,1
0.777027027027027,0.958333333333333,0.743421052631579,0.928571428571429,0.499478943174156,0.922480620155039,0.353312302839117,0.849514563106796,0.727272727272727,0.511841100076394,0.726286086390276,0.3996399639964,0,0.714285714285714,0.954545454545455,0.245126353790614,0.833333333333333,0.513484358144552,0.862068965517241,0.562116811874798,0.75609756097561,0.334692490655794,0.891891891891892,0.717294900221729,0.290584415584416,0.573904179408767,1
0.833333333333333,1,0.833333333333333,1,0.992840095465394,1,0.734375,0.944444444444444,0.91304347826087,0.858490566037736,0.985714285714286,0.96551724137931,0.714285714285714,0,1,0.947761194029851,1,0.659574468085106,0.75,0.872093023255814,0.9,0.949771689497717,1,1,0.944444444444444,0.961538461538462,1
0.875,0.8,1,1,1,0.916666666666667,0.959183673469388,1,0.875,1,0.986111111111111,0.861538461538461,0.954545454545455,1,0,1,1,1,1,0.966292134831461,0.793103448275862,0.982062780269058,0.971428571428571,0.612903225806452,1,1,1
0.720647773279352,1,0.736011477761837,0.686567164179104,0.778226152657337,0.924187725631769,0.211643615310389,0.72398100514444,0.931888544891641,0.598297462255059,0.76003093049231,0.676767676767677,0.245126353790614,0.947761194029851,1,0,0.580144777662875,0.249351911860013,0.956204379562044,0.645309928688974,0.940828402366864,0.536757301107754,0.852293577981651,0.839234449760766,0.293427824179533,0.743601462522852,1
1,1,0.96551724137931,1,0.826023391812865,1,0.790419161676647,1,1,0.983193277310924,0.84971098265896,0.87962962962963,0.833333333333333,1,1,0.580144777662875,0,0.957894736842105,1,0.971563981042654,1,0.983673469387755,0.94392523364486,1,0.889763779527559,0.93854748603352,1
0.562814070351759,1,0.366322008862629,0.680851063829787,0.786898569570871,0.923857868020305,0.48463476070529,0.706733444629939,0.96969696969697,0.507462686567164,0.721128608923885,0.653776978417266,0.513484358144552,0.659574468085106,1,0.249351911860013,0.957894736842105,0,0.813333333333333,0.497555676262901,0.911949685534591,0.354291518537329,0.905956112852665,0.943289224952741,0.543753161355589,0.76551724137931,1
0.857142857142857,1,0.857142857142857,1,1,1,0.634782608695652,1,0.92,0.819742489270386,1,0.966666666666667,0.862068965517241,0.75,1,0.956204379562044,1,0.813333333333333,0,0.938775510204082,0.909090909090909,0.925274725274725,1,1,0.935483870967742,1,1
0.631578947368421,0.968421052631579,0.657841140529531,0.581395348837209,0.739565763502602,0.77027027027027,0.585467540202501,0.635398737808376,0.898148148148148,0.532038345105954,0.612508841062948,0.467686686458095,0.562116811874798,0.872093023255814,0.966292134831461,0.645309928688974,0.971563981042654,0.497555676262901,0.938775510204082,0,0.8359375,0.306933946763063,0.377236936292055,0.578207381370826,0.491364421416235,0.722033898305085,1
0.923076923076923,0.916666666666667,0.923076923076923,1,0.974885844748858,0.823529411764706,0.752688172043011,1,0.764705882352941,0.905362776025237,0.93984962406015,0.755747126436782,0.75609756097561,0.9,0.793103448275862,0.940828402366864,1,0.911949685534591,0.909090909090909,0.8359375,0,0.893175074183976,0.642276422764228,0.698492462311558,0.88628762541806,0.96969696969697,1
0.781534460338101,0.982683982683983,0.709988860007427,0.785388127853881,0.724431366311436,0.852913968547641,0.652465615565247,0.804479340970524,0.885459278542209,0.628945123684959,0.544207826959527,0.404838290123992,0.334692490655794,0.949771689497717,0.982062780269058,0.536757301107754,0.983673469387755,0.354291518537329,0.925274725274725,0.306933946763063,0.893175074183976,0,0.741219963031423,0.734053189362128,0.231689704972148,0.794361017468587,1
0.9,0.941176470588235,0.904761904761905,0.882352941176471,0.717696402645588,0.532934131736527,0.86046511627907,0.863013698630137,0.925,0.80684811237928,0.650720039052966,0.43579766536965,0.891891891891892,1,0.971428571428571,0.852293577981651,0.94392523364486,0.905956112852665,1,0.377236936292055,0.642276422764228,0.741219963031423,0,0.544783983140148,0.792670157068063,0.876126126126126,1
0.828571428571429,0.741935483870968,0.942857142857143,0.935483870967742,0.838506304558681,0.826589595375723,0.81136638452237,0.878787878787879,0.705882352941177,0.765919282511211,0.791921664626683,0.61976911976912,0.717294900221729,1,0.612903225806452,0.839234449760766,1,0.943289224952741,1,0.578207381370826,0.698492462311558,0.734053189362128,0.544783983140148,0,0.656362007168459,0.831325301204819,1
0.734756097560976,1,0.748645720476706,0.7,0.754915598330764,0.925,0.372262773722628,0.725663716814159,0.803402646502836,0.373509933774835,0.761036960985626,0.633802816901408,0.290584415584416,0.944444444444444,1,0.293427824179533,0.889763779527559,0.543753161355589,0.935483870967742,0.491364421416235,0.88628762541806,0.231689704972148,0.792670157068063,0.656362007168459,0,0.694444444444444,1
0.766233766233766,1,0.636363636363636,0.64,0.153846153846154,0.797546012269939,0.838709677419355,0.682051282051282,0.885714285714286,0.674196787148594,0.475229357798165,0.588557993730408,0.573904179408767,0.961538461538462,1,0.743601462522852,0.93854748603352,0.76551724137931,1,0.722033898305085,0.96969696969697,0.794361017468587,0.876126126126126,0.831325301204819,0.694444444444444,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
